Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
33,JARELL EDDIE,FNB,32,0,16:59,5.9,0.6,1.2,50%,1.4,3.1,44.9%,0.6,0.7,90.5%,0.2,1.9,2.1,0.4,0.3,0.7,0.1,0.1,2,0.5,4.2
34,JOHN DIBARTOLOMEO,MTA,23,3,10:26,3.8,0.4,0.7,52.9%,0.8,2.1,37.5%,0.7,0.7,93.8%,0.3,0.7,1,1,0.6,0.4,0.1,0.1,1.3,1.3,4.3
35,AHMET DUVERIOGLU,FNB,30,23,11:31,3.7,1.6,2.2,70.1%,0,0,0%,0.5,1,51.6%,1.2,1.4,2.6,0.9,0.4,0.9,0.3,0.1,2.3,1.1,4.4
36,ARTURAS MILAKNIS,ZAL,25,12,18:32,6,0.6,1.2,48.3%,1.6,3.3,47%,0.2,0.2,100%,0.1,0.9,1,0.7,0.5,0.4,0.1,0,1.7,0.6,4.5
37,MARTINAS GEBEN,ZAL,33,2,8:03,3.3,1.3,2.1,61.8%,0,0,0%,0.7,1,72.7%,0.8,1.3,2.1,0.6,0.4,0.5,0.2,0.2,1.3,1.1,4.5
38,MARKO JAGODIC-KURIDZA,CZV,34,14,18:42,4.4,1.1,3,38.2%,0.4,1.1,35.1%,0.9,1.2,77.5%,1.1,1.9,2.9,1.1,0.4,0.6,0.1,0.3,2.1,1.5,4.5
39,RUDY FERNANDEZ,RMB,28,0,15:26,5.5,0.2,0.7,31.6%,1.6,4.5,34.6%,0.4,0.5,84.6%,0.1,1,1.1,1.2,0.5,0.6,0.1,0,1.1,1.2,4.5
40,KC RIVERS,ZEN,37,13,22:18,6.1,1,2.1,48.1%,1.3,3.7,35.5%,0.1,0.3,45.5%,0.6,1.9,2.5,0.7,0.5,0.4,0.1,0.1,2.1,0.9,4.5
41,KALEB TARCZEWSKI,AXM,39,24,13:24,4,1.6,2.7,57.9%,0,0,0%,0.8,1.2,66%,1.3,1.6,2.9,0.3,0.3,0.8,0.4,0.1,2.4,1.5,4.6
42,ZAN MARK SISKO,BAY,32,1,17:13,4.3,1.1,2.3,47.3%,0.6,1.6,39.2%,0.2,0.3,80%,0.6,0.8,1.4,3.3,0.8,0.9,0,0.2,2.9,1,4.6
43,GUILLEM VIVES,VBC,26,18,18:05,4.5,0.8,1.4,61.1%,0.8,2,39.6%,0.4,0.6,68.8%,0.2,1.3,1.5,2.3,0.9,1.1,0.1,0.1,2.7,1.2,4.6
44,MARKO SIMONOVIC,CZV,23,11,18:37,5.3,0.6,1.5,37.1%,1.2,2.6,45.8%,0.7,0.9,71.4%,0.3,2.1,2.3,0.5,0.3,0.4,0,0.1,1.6,1,4.7
45,ALEX ABRINES,FCB,39,33,18:42,6.1,0.6,1.3,44%,1.4,3.3,42.3%,0.7,0.8,90.3%,0.6,1.3,1.8,0.7,0.6,0.3,0.2,0.2,2.5,1,4.7
46,EDGARAS ULANOVAS,FNB,28,28,19:34,4.5,1.1,2.2,51.6%,0.6,1.4,40%,0.5,0.6,72.2%,0.5,1.1,1.6,1.4,0.2,0.8,0,0.1,1.6,1.4,4.7
47,SERGEY MONIA,KHI,26,19,22:40,5,0.3,0.8,45%,1.4,3.5,40.7%,0,0,0%,0.8,2.2,3,1.6,0.6,0.9,0.5,0,2.8,0.2,4.7
48,VASSILIS SPANOULIS,OLY,34,2,17:16,6.4,1.1,2.4,45.8%,1,3.5,28.3%,1.1,1.7,64.4%,0.2,1.3,1.5,2.7,0.6,2,0,0.5,1.5,2,4.7
49,ZACH AUGUSTE,PAO,21,7,10:21,4.6,1.9,2.8,67.2%,0,0,100%,0.8,1.4,53.3%,1.6,0.7,2.3,0.4,0.6,0.9,0.1,0.2,2,1.4,4.8
50,ADAM HANGA,FCB,41,7,15:53,4.6,1.2,2.5,47.5%,0.6,1.7,34.3%,0.5,0.8,64.7%,0.5,1.7,2.2,1.7,0.8,1.2,0.3,0.1,1.9,1.1,4.8
51,NIKITA KURBANOV,CSK,39,39,22:03,4.1,0.8,1.3,62%,0.6,1.7,33.8%,0.7,1,71.8%,0.8,1.8,2.6,0.9,0.6,0.7,0.3,0.1,1.9,1.1,4.8
52,JAJUAN JOHNSON,BAY,38,21,14:11,4.3,1.8,3.8,48.3%,0,0.2,0%,0.7,0.8,78.1%,0.8,2.1,2.9,0.3,0.4,0.6,0.4,0,1.5,0.9,4.9
53,FERNANDO SAN EMETERIO,VBC,24,5,13:16,4.9,1,2.2,46.2%,0.7,2,36.2%,0.8,0.8,95%,0.4,0.9,1.3,1.3,0.3,0.5,0,0.2,1.2,1.4,5
54,SHELVIN MACK,PAO,26,4,16:28,6,1.1,2.7,40.8%,1,2.3,41.7%,0.9,1.2,74.2%,0.3,0.9,1.2,2.8,0.7,1.6,0,0.3,1.8,1.2,5
