Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
176,DEVIN BOOKER,BAY,28,28,26:15,14.9,4.3,7.4,58.7%,1.1,2.8,40.5%,2.9,3.5,82.5%,1.8,2.9,4.7,1.6,0.7,1.6,0.2,0.3,2.7,3.9,16.2
177,KEVIN PUNTER,BAR,37,33,27:04,16.6,3.3,6.2,53.9%,2.1,5.5,38.6%,3.6,3.9,94.4%,0.3,1.9,2.2,3,1.3,1.6,0,0.4,2.2,4,16.5
178,CARSEN EDWARDS,BAY,35,31,28:49,20.4,4.3,8,53.9%,2.9,8,35.6%,3.2,3.5,91%,0.5,1.8,2.3,3.3,1,2.3,0.1,0.9,2.1,4.2,16.7
179,CARLIK JONES,PAR,34,23,26:57,14.1,4.2,8.3,50.9%,0.9,2.8,31.9%,3.1,3.6,85.2%,0.5,2.7,3.2,5.4,1,1.8,0.1,0.6,1.7,4,17.3
180,MIKE JAMES,ASM,41,41,29:20,15.9,3.3,7.3,44.8%,1.9,5.6,33%,3.8,4.9,78.9%,0.3,2.6,3,5.8,1.1,1.9,0,0.6,1.8,4.7,17.4
181,TORNIKE SHENGELIA,VIR,28,25,27:27,15.6,4.4,8.6,51.3%,0.9,2.5,36.2%,4.2,5.1,82.4%,1.6,3.4,5,2.7,0.7,2.5,0.4,0.4,2.5,5.2,17.5
182,FACUNDO CAMPAZZO,RMB,39,33,25:44,12,2.3,4,56.1%,1.3,3.9,33.8%,3.5,4,86%,0.7,2.4,3.1,6,1,2.3,0.1,0.4,2.2,5.2,17.5
183,JAYLEN HOARD,MTA,24,22,30:38,14.7,5.1,8.2,61.6%,0.5,1.4,32.4%,3.2,4,78.4%,1.3,3.8,5,1.4,1.3,0.9,0.2,0.3,1.9,3,17.5
184,NIGEL HAYES-DAVIS,FBB,39,39,31:20,16.7,3.2,6.4,49.8%,2.3,5.7,41%,3.3,3.6,90.8%,1.4,3.9,5.3,1.7,1.1,1.4,0.3,0.4,2.1,4.1,18.3
185,CHIMA MONEKE,BKN,33,29,28:12,14,3.4,5.2,64.5%,1.2,3.9,29.5%,3.8,4.7,81.3%,2.2,3.9,6.1,2.3,0.9,1.9,0.3,0.4,1.8,4.7,18.6
186,KENDRICK NUNN,PAO,40,39,30:49,20,4.4,7.9,56.3%,2.7,7,39.2%,3,3.4,86.2%,0.8,2.7,3.5,4.2,1,2.8,0.2,0.6,2.8,4.1,18.7
187,ZACH LEDAY,EA7,34,23,27:38,16,3.2,6,53.2%,1.6,3.5,46.2%,4.8,5.2,91.5%,0.7,3.8,4.5,1.2,0.7,1.3,0.1,0.4,2,5.7,19.4
188,THEO MALEDON,ASV,33,33,27:35,17,2.8,5.4,52.5%,1.7,4.8,34.4%,6.3,7,90.4%,0.4,3,3.5,4.6,1,2.9,0.2,0.5,1.8,5.9,20.6
189,NIKOLA MIROTIC,EA7,30,30,27:29,17.7,3.3,6,55%,2,5.2,38.9%,5,5.6,89.3%,1.8,4.6,6.4,2,1,1.9,0.3,0.2,1.8,4.9,22
190,TJ SHORTS,PBB,37,37,27:19,19,6.2,12,52%,0.8,2.2,36.1%,4.1,5.6,73.4%,0.5,2.1,2.6,7.3,1,2.3,0.1,0.6,2.3,6.6,22.8
191,SASHA VEZENKOV,OLY,38,38,30:23,19.8,4.9,7.6,64.5%,1.9,4.9,38.2%,4.3,4.9,88.6%,1.9,4.7,6.6,1.8,0.9,1.1,0.2,0.3,1.3,3.4,23.7
